cohort,outcome,subgroup,arm,n,events,auroc,lo,hi
UKBB,hf5,male,CL(ECG),2484,84,0.8079265873015873,0.746972904265873,0.8674847470238095
UKBB,hf5,male,CL(ECG+MRI),2484,84,0.8186631944444445,0.7638673735119048,0.869593998015873
UKBB,hf5,male,CL(ECG)+RS,2484,84,0.8104563492063492,0.7563451140873015,0.859118179563492
UKBB,hf5,male,CL(ECG+MRI)+RS,2484,84,0.8158482142857143,0.7625078125,0.8663292410714285
CHS,af5,ALL,RiskScore,6605,944,0.6992639760897488,0.680911348162719,0.7167323386447265
CHS,af5,ALL,CL(ECG),6605,944,0.6793553274111599,0.6603047978811313,0.6973069997964066
CHS,af5,ALL,CL(ECG)+RS,6605,944,0.717878272090635,0.7011652355246573,0.7344930486318821
CHS,af5,age<75,RiskScore,3964,390,0.6661745082002497,0.634953600074613,0.6946602599974172
CHS,af5,age<75,CL(ECG),3964,390,0.6663050808546052,0.6387199216564075,0.6942796981045443
CHS,af5,age<75,CL(ECG)+RS,3964,390,0.696100038741337,0.6689178432554201,0.7249356283988349
CHS,af5,age>=75,RiskScore,2641,554,0.6523921508253777,0.6256284823187724,0.6798424664287605
CHS,af5,age>=75,CL(ECG),2641,554,0.6710035824313828,0.6458832310728785,0.6962437229609462
CHS,af5,age>=75,CL(ECG)+RS,2641,554,0.6939624527978772,0.6699075763839758,0.7187979697249087
CHS,af5,female,RiskScore,4035,462,0.6775624785700353,0.6511935657401652,0.7032450115888403
CHS,af5,female,CL(ECG),4035,462,0.6845527361900158,0.6579720680476349,0.7090744163477161
CHS,af5,female,CL(ECG)+RS,4035,462,0.7106945671177409,0.6860404452343999,0.7354739975017054
CHS,af5,male,RiskScore,2570,482,0.6990315138074117,0.6733285241888046,0.7245029888237071
CHS,af5,male,CL(ECG),2570,482,0.6653203049236102,0.6386464444126484,0.6928616993370534
CHS,af5,male,CL(ECG)+RS,2570,482,0.7079468132462123,0.682761204114402,0.7329852913705664
CHS,hf5,ALL,RiskScore,6314,489,0.7509118196898286,0.7272592046481828,0.7712236586885736
CHS,hf5,ALL,CL(ECG),6314,489,0.7196229495247374,0.6961639678067704,0.7413469724496872
CHS,hf5,ALL,CL(ECG)+RS,6314,489,0.7922560713376691,0.7717832837445255,0.8128995848582988
CHS,hf5,age<75,RiskScore,3842,195,0.7289363227942882,0.6952870641834173,0.7643792579781064
CHS,hf5,age<75,CL(ECG),3842,195,0.7212714348990741,0.6848873679104006,0.758712535065702
CHS,hf5,age<75,CL(ECG)+RS,3842,195,0.7768225376670674,0.7402215730526671,0.8090542982289622
CHS,hf5,age>=75,RiskScore,2472,294,0.7237745419563602,0.6943628851908072,0.7517203185222666
CHS,hf5,age>=75,CL(ECG),2472,294,0.6992435174253356,0.6648764625225665,0.7315558960039479
CHS,hf5,age>=75,CL(ECG)+RS,2472,294,0.7705549621134037,0.7437323138621841,0.796575838783631
CHS,hf5,female,RiskScore,3879,242,0.7409657855329863,0.7080291346741594,0.7719080126886886
CHS,hf5,female,CL(ECG),3879,242,0.7209976890407815,0.6887803157174768,0.7526385723407495
CHS,hf5,female,CL(ECG)+RS,3879,242,0.7842241244145911,0.754935045457954,0.8112568652758495
CHS,hf5,male,RiskScore,2435,247,0.7463048353551577,0.7134561261648003,0.776213187130391
CHS,hf5,male,CL(ECG),2435,247,0.7119196352574588,0.6783130657469154,0.7456430548668112
CHS,hf5,male,CL(ECG)+RS,2435,247,0.7894348266954829,0.7597058208557536,0.8206488834940678
MESA,af5,ALL,RiskScore,7412,436,0.7705800621791095,0.7500847762446343,0.7924460453534004
MESA,af5,ALL,CL(ECG),7412,436,0.7089907862343237,0.6835983858155879,0.733056620076172
MESA,af5,ALL,CL(ECG)+RS,7412,436,0.7804191697878966,0.7593758383921808,0.8008706374016286
MESA,af5,age<65,RiskScore,3626,53,0.7145308894275199,0.6465357318251668,0.7781849193901852
MESA,af5,age<65,CL(ECG),3626,53,0.6766049353378852,0.6036830209802027,0.7523748607216598
MESA,af5,age<65,CL(ECG)+RS,3626,53,0.7445305197788444,0.6736173819368534,0.810412343097339
MESA,af5,age>=65,RiskScore,3786,383,0.6605583001943455,0.631388580495324,0.6896122795966392
MESA,af5,age>=65,CL(ECG),3786,383,0.6679039919468999,0.6377039649395518,0.6995372689893498
MESA,af5,age>=65,CL(ECG)+RS,3786,383,0.6908955314347884,0.6598637049631373,0.7196208574986439
